p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.83005816797547	0.779	0.221	0	infectedD4	ENSMUSG00000003545.Fosb
0	3.18797894036125	0.716	0.212	0	infectedD4	ENSMUSG00000023034.Nr4a1
0	2.44725776138982	0.938	0.48	0	infectedD4	Rosa26eyfp.Rosa26eyfp
0	1.9391397239433	0.846	0.411	0	infectedD4	ENSMUSG00000021268.Meg3
0	2.5644548552279	0.721	0.322	0	infectedD4	ENSMUSG00000003032.Klf4
0	2.13835859333923	0.849	0.463	0	infectedD4	ENSMUSG00000040170.Fmo2
0	1.85927265187688	0.808	0.425	0	infectedD4	ENSMUSG00000016494.Cd34
0	2.16444038503267	0.555	0.178	0	infectedD4	ENSMUSG00000014846.Tppp3
0	2.6008551512007	0.854	0.48	0	infectedD4	ENSMUSG00000044786.Zfp36
0	1.16864739269231	0.826	0.458	0	infectedD4	ENSMUSG00000041828.Abca8a
0	2.35617635951046	0.534	0.172	0	infectedD4	ENSMUSG00000026628.Atf3
0	2.26591299053392	0.73	0.368	0	infectedD4	ENSMUSG00000040435.Ppp1r15a
0	1.36133215220585	0.881	0.523	0	infectedD4	ENSMUSG00000007097.Atp1a2
0	1.70857938786914	0.664	0.311	0	infectedD4	ENSMUSG00000025934.Gsta3
0	1.34257263773071	0.888	0.537	0	infectedD4	ENSMUSG00000033327.Tnxb
0	1.99935659996072	0.494	0.156	0	infectedD4	ENSMUSG00000027875.Hmgcs2
0	2.31997308349231	0.828	0.494	0	infectedD4	ENSMUSG00000020423.Btg2
0	1.61012784084316	0.773	0.449	0	infectedD4	ENSMUSG00000024713.Pcsk5
0	1.66631767958789	0.601	0.278	0	infectedD4	ENSMUSG00000054619.Mettl7a1
0	2.0794364442227	0.76	0.441	0	infectedD4	ENSMUSG00000056708.Ier5
0	2.34581539172978	0.434	0.116	0	infectedD4	ENSMUSG00000033207.Mamdc2
0	2.55441514794953	0.892	0.575	0	infectedD4	ENSMUSG00000021250.Fos
0	1.31931110552923	0.701	0.384	0	infectedD4	ENSMUSG00000056973.Ces1d
0	5.43649732616133	0.326	0.015	0	infectedD4	ENSMUSG00000097266.Gm26802
0	1.26120499830788	0.827	0.517	0	infectedD4	ENSMUSG00000031451.Gas6
0	1.82115363894412	0.841	0.532	0	infectedD4	ENSMUSG00000022528.Hes1
0	1.004777109928	0.81	0.503	0	infectedD4	ENSMUSG00000064080.Fbln2
0	1.03183815438603	0.852	0.547	0	infectedD4	ENSMUSG00000028339.Col15a1
0	1.19847622382457	0.81	0.507	0	infectedD4	ENSMUSG00000044548.Dact1
0	2.14469669024079	0.794	0.492	0	infectedD4	ENSMUSG00000053560.Ier2
0	2.70047861155875	0.378	0.078	0	infectedD4	ENSMUSG00000084319.Tpt1-ps3
0	1.53804387591125	0.567	0.268	0	infectedD4	ENSMUSG00000004558.Ndrg2
0	1.50004341398644	0.931	0.635	0	infectedD4	ENSMUSG00000006369.Fbln1
0	1.08885474599559	0.797	0.503	0	infectedD4	ENSMUSG00000036545.Adamts2
0	1.22082073155024	0.756	0.465	0	infectedD4	ENSMUSG00000004105.Angptl2
0	1.62310273090791	0.516	0.228	0	infectedD4	ENSMUSG00000002265.Peg3
0	1.29263436694217	0.746	0.458	0	infectedD4	ENSMUSG00000028047.Thbs3
0	1.82287369323757	0.577	0.289	0	infectedD4	ENSMUSG00000022893.Adamts1
0	1.29240190088297	0.782	0.497	0	infectedD4	ENSMUSG00000036880.Acaa2
0	2.29806745802648	0.903	0.619	0	infectedD4	ENSMUSG00000038418.Egr1
0	2.00832209883344	0.637	0.356	0	infectedD4	ENSMUSG00000029380.Cxcl1
0	1.26871215308607	0.907	0.627	0	infectedD4	ENSMUSG00000041959.S100a10
0	0.919976297502666	0.852	0.574	0	infectedD4	ENSMUSG00000006800.Sulf2
0	1.57446673664368	0.92	0.642	0	infectedD4	ENSMUSG00000033863.Klf9
0	1.27384016749772	0.756	0.479	0	infectedD4	ENSMUSG00000041560.Nop53
0	1.41502850327192	0.596	0.319	0	infectedD4	ENSMUSG00000071984.Fndc1
0	0.749194928317914	0.884	0.609	0	infectedD4	ENSMUSG00000025780.Itih5
0	0.931403459352672	0.707	0.432	0	infectedD4	ENSMUSG00000000753.Serpinf1
0	1.12900543896905	0.907	0.636	0	infectedD4	ENSMUSG00000027955.Gask1b
0	1.14058686507108	0.706	0.435	0	infectedD4	ENSMUSG00000021559.Dapk1
0	1.24193078518883	0.793	0.523	0	infectedD4	ENSMUSG00000068874.Selenbp1
0	1.77497793092453	0.617	0.35	0	infectedD4	ENSMUSG00000018476.Kdm6b
0	1.76862677450823	0.517	0.251	0	infectedD4	ENSMUSG00000008384.Sertad1
0	1.56430666412637	0.41	0.144	0	infectedD4	ENSMUSG00000052957.Gas1
0	1.26507648461036	0.62	0.356	0	infectedD4	ENSMUSG00000001473.Tubb6
0	1.49943288035171	0.552	0.29	0	infectedD4	ENSMUSG00000074934.Grem1
0	2.03837048469463	0.588	0.327	0	infectedD4	ENSMUSG00000006403.Adamts4
0	1.3328683795447	0.57	0.31	0	infectedD4	ENSMUSG00000083282.Ctsf
0	0.935165163570525	0.766	0.507	0	infectedD4	ENSMUSG00000020902.Ntn1
0	1.12389209623037	0.913	0.654	0	infectedD4	ENSMUSG00000022324.Matn2
0	1.25382595154747	0.601	0.342	0	infectedD4	ENSMUSG00000023942.Slc29a1
0	1.05317954423421	0.71	0.453	0	infectedD4	ENSMUSG00000041757.Plekha6
0	0.485878001815754	0.702	0.445	0	infectedD4	ENSMUSG00000034810.Scn7a
0	1.10422702577888	0.836	0.58	0	infectedD4	ENSMUSG00000032265.Tent5a
0	1.1668780944012	0.644	0.389	0	infectedD4	ENSMUSG00000019843.Fyn
0	2.49161654166599	0.366	0.111	0	infectedD4	ENSMUSG00000032515.Csrnp1
0	2.45030567226139	0.425	0.172	0	infectedD4	ENSMUSG00000032487.Ptgs2
0	1.71705973275897	0.453	0.2	0	infectedD4	ENSMUSG00000031613.Hpgd
0	2.02219884167652	0.325	0.073	0	infectedD4	ENSMUSG00000045573.Penk
0	2.50273749334668	0.488	0.236	0	infectedD4	ENSMUSG00000039405.Prss23
0	1.35636944164001	0.459	0.209	0	infectedD4	ENSMUSG00000055653.Gpc3
0	1.09841718448632	0.793	0.546	0	infectedD4	ENSMUSG00000044674.Fzd1
0	2.56416762547424	0.328	0.084	0	infectedD4	ENSMUSG00000023067.Cdkn1a
0	1.00347553300825	0.705	0.461	0	infectedD4	ENSMUSG00000030231.Plekha5
0	3.20311399582248	0.332	0.089	0	infectedD4	ENSMUSG00000079355.Ackr4
0	1.39262974218997	0.404	0.163	0	infectedD4	ENSMUSG00000028031.Dkk2
0	1.07304336358611	0.75	0.509	0	infectedD4	ENSMUSG00000036334.Igsf10
0	0.964211770072431	0.519	0.28	0	infectedD4	ENSMUSG00000037624.Kcnk2
0	1.58461759532909	0.821	0.582	0	infectedD4	ENSMUSG00000027829.Ccnl1
0	0.69993293190278	0.874	0.635	0	infectedD4	ENSMUSG00000021388.Aspn
0	1.05408058381052	0.797	0.558	0	infectedD4	ENSMUSG00000022817.Itgb5
0	1.01865394676419	0.834	0.595	0	infectedD4	ENSMUSG00000024501.Dpysl3
0	1.51893999670283	0.461	0.223	0	infectedD4	ENSMUSG00000021253.Tgfb3
0	1.97295065207745	0.36	0.122	0	infectedD4	ENSMUSG00000074207.Adh1
0	0.934808340129933	0.757	0.519	0	infectedD4	ENSMUSG00000024299.Adamts10
0	1.05572154167095	0.874	0.637	0	infectedD4	ENSMUSG00000036381.P2ry14
0	1.55154164086648	0.421	0.184	0	infectedD4	ENSMUSG00000030554.Synm
0	2.02936978672634	0.346	0.11	0	infectedD4	ENSMUSG00000070867.Trabd2b
0	1.73426389486398	0.975	0.739	0	infectedD4	ENSMUSG00000029096.Htra3
0	2.46226553351854	0.849	0.613	0	infectedD4	ENSMUSG00000015312.Gadd45b
0	1.31880060155597	0.804	0.569	0	infectedD4	ENSMUSG00000055148.Klf2
0	1.83386897799333	0.368	0.133	0	infectedD4	ENSMUSG00000027834.Serpini1
0	1.10255281846978	0.768	0.533	0	infectedD4	ENSMUSG00000002395.Use1
0	0.936736025772077	0.781	0.546	0	infectedD4	ENSMUSG00000092274.Neat1
0	0.834791147148594	0.81	0.576	0	infectedD4	ENSMUSG00000026365.Cfh
0	0.861515435661285	0.859	0.626	0	infectedD4	ENSMUSG00000022371.Col14a1
0	1.04615226211292	0.722	0.491	0	infectedD4	ENSMUSG00000041895.Wipi1
0	0.899592571362578	0.672	0.442	0	infectedD4	ENSMUSG00000021892.Sh3bp5
0	1.31725221115125	0.465	0.237	0	infectedD4	ENSMUSG00000068263.Efcc1
0	0.967981154270007	0.616	0.389	0	infectedD4	ENSMUSG00000043496.Tril
0	1.48783767915438	0.673	0.448	0	infectedD4	ENSMUSG00000024190.Dusp1
0	0.50980265454676	0.93	0.707	0	infectedD4	ENSMUSG00000055632.Hmcn2
0	0.982869628791713	0.809	0.586	0	infectedD4	ENSMUSG00000058135.Gstm1
0	0.817701257057127	0.602	0.379	0	infectedD4	ENSMUSG00000033544.Angptl1
0	1.62061632466223	0.357	0.134	0	infectedD4	ENSMUSG00000053007.Creb5
0	1.45355338131418	0.499	0.276	0	infectedD4	ENSMUSG00000038894.Irs2
0	0.977806599395731	0.945	0.723	0	infectedD4	ENSMUSG00000037379.Spon2
0	0.787512339407728	0.877	0.655	0	infectedD4	ENSMUSG00000025026.Add3
0	2.03567933968962	0.332	0.111	0	infectedD4	ENSMUSG00000019989.Enpp3
0	1.09890557988483	0.558	0.338	0	infectedD4	ENSMUSG00000022419.Deptor
0	0.967812740461633	0.86	0.64	0	infectedD4	ENSMUSG00000045658.Pid1
0	1.93553325244008	0.548	0.329	0	infectedD4	ENSMUSG00000035356.Nfkbiz
0	0.936240242980228	0.735	0.516	0	infectedD4	ENSMUSG00000040339.Fam102b
0	0.927686593009761	0.896	0.677	0	infectedD4	ENSMUSG00000028369.Svep1
0	0.95456637496603	0.812	0.594	0	infectedD4	ENSMUSG00000031523.Dlc1
0	2.30006214549763	0.304	0.086	0	infectedD4	ENSMUSG00000046532.Ar
0	0.774143083100674	0.773	0.556	0	infectedD4	ENSMUSG00000030737.Slco2b1
0	0.986799761206451	0.53	0.314	0	infectedD4	ENSMUSG00000026748.Plxdc2
0	1.88818132365904	0.844	0.628	0	infectedD4	ENSMUSG00000053113.Socs3
0	0.806495801299044	0.872	0.657	0	infectedD4	ENSMUSG00000019899.Lama2
0	2.11680464123696	0.338	0.125	0	infectedD4	ENSMUSG00000039328.Rnf122
0	1.2192216258572	0.779	0.567	0	infectedD4	ENSMUSG00000053907.Mat2a
