p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	7.56606587206281	0.426	0.003	0	cko	ENSMUSG00000064360.mt-Nd3
0	0.977357202728695	0.447	0.296	0	cko	ENSMUSG00000035692.Isg15
0	1.62211211338951	0.213	0.091	0	cko	ENSMUSG00000068606.Gm4841
0	0.708362012336289	0.881	0.768	0	cko	ENSMUSG00000024659.Anxa1
0	1.50834720624807	0.191	0.081	0	cko	ENSMUSG00000063388.BC023105
0	0.556342319041661	0.634	0.524	0	cko	ENSMUSG00000036752.Tubb4b
0	0.469826109693619	0.749	0.645	0	cko	ENSMUSG00000030342.Cd9
0	5.73753439584719	0.08	0.003	0	cko	ENSMUSG00000072324.Gm8420
0	2.16217981008006	0.088	0.021	0	cko	ENSMUSG00000006638.Abhd1
0	0.565062080966503	0.902	0.85	0	cko	ENSMUSG00000032575.Manf
0	0.352450779876241	0.977	0.949	0	cko	ENSMUSG00000009013.Dynll1
0	0.540059143496463	0.997	0.97	0	cko	ENSMUSG00000060636.Rpl35a
0	0.522181276928185	0.969	0.949	0	cko	ENSMUSG00000072235.Tuba1a
0	0.272022469524654	0.978	0.96	0	cko	ENSMUSG00000001175.Calm1
0	0.314901189235943	0.973	0.957	0	cko	ENSMUSG00000020571.Pdia6
0	0.519965976059445	0.99	0.981	0	cko	ENSMUSG00000008348.Ubc
0	0.215316290545804	0.995	0.986	0	cko	ENSMUSG00000071866.Ppia
0	0.453441816446773	0.989	0.983	0	cko	ENSMUSG00000026864.Hspa5
0	0.260886885490653	0.998	0.996	0	cko	ENSMUSG00000023944.Hsp90ab1
0	0.270196563494895	0.999	0.999	0	cko	ENSMUSG00000024661.Fth1
1.45083112551993e-307	0.208689802810442	0.988	0.975	4.46116062786123e-303	cko	ENSMUSG00000070493.Chchd2
2.60999277218321e-303	0.88296601486442	0.35	0.227	8.02546677518614e-299	cko	ENSMUSG00000022351.Sqle
1.02916147107484e-299	0.270337788713814	0.94	0.902	3.16456860740803e-295	cko	ENSMUSG00000078812.Eif5a
9.67639677415471e-293	0.251659325114666	0.963	0.936	2.97539524408483e-288	cko	ENSMUSG00000015656.Hspa8
1.49869059853596e-291	0.491700202660407	0.744	0.665	4.60832372143822e-287	cko	ENSMUSG00000058672.Tubb2a
9.46417545602974e-273	0.246493177198467	0.977	0.964	2.91013931097458e-268	cko	ENSMUSG00000029455.Aldh2
1.68253685029849e-271	0.15683393068358	0.998	0.996	5.17363256098282e-267	cko	ENSMUSG00000035530.Eif1
2.73797990255723e-264	0.318053766825537	0.887	0.838	8.41901440237322e-260	cko	ENSMUSG00000035227.Spcs2
1.42983592401551e-257	0.235207235291771	0.999	0.999	4.39660248275528e-253	cko	ENSMUSG00000029580.Actb
1.12854694272816e-250	0.232652328633605	0.962	0.937	3.47016899419482e-246	cko	ENSMUSG00000042682.Selenok
1.43323297162793e-247	0.275611734815062	0.902	0.861	4.40704806445873e-243	cko	ENSMUSG00000059796.Eif4a1
1.28941899728806e-240	0.314299096147157	0.844	0.791	3.96483447476107e-236	cko	ENSMUSG00000007041.Clic1
7.82608234897332e-238	0.201691314398442	0.982	0.97	2.40644206148581e-233	cko	ENSMUSG00000028691.Prdx1
8.37817276547072e-236	0.272329106777013	0.912	0.881	2.57620434365459e-231	cko	ENSMUSG00000027566.Psma7
1.02302900002425e-234	0.544265284590858	0.531	0.431	3.14571187217456e-230	cko	ENSMUSG00000030357.Fkbp4
3.07811472892317e-233	0.245334050479769	0.996	0.988	9.46489497996586e-229	cko	ENSMUSG00000050708.Ftl1
2.89001809780151e-231	0.433887007407646	0.606	0.509	8.88651664892987e-227	cko	ENSMUSG00000024725.Ostf1
1.30279544213438e-229	0.362770996435486	0.811	0.747	4.00596570501901e-225	cko	ENSMUSG00000024338.Psmb8
2.51110097794226e-229	0.229014282717198	0.954	0.921	7.72138439707464e-225	cko	ENSMUSG00000031633.Slc25a4
4.09442344583416e-229	0.284779061764031	0.947	0.927	1.25899426535954e-224	cko	ENSMUSG00000026547.Tagln2
1.03496165985531e-226	0.686366277349051	0.463	0.365	3.18240360788908e-222	cko	ENSMUSG00000022769.Sdf2l1
1.42793837265625e-226	0.186528456204095	0.999	0.997	4.3907677020807e-222	cko	ENSMUSG00000025492.Ifitm3
2.47624569376837e-224	0.282427297997728	0.878	0.822	7.61420788376836e-220	cko	ENSMUSG00000015092.Edf1
6.31021724950805e-212	0.608663531336517	0.51	0.399	1.94032870205123e-207	cko	ENSMUSG00000034855.Cxcl10
9.00376561151107e-211	0.190379866526407	0.999	0.999	2.76856788788354e-206	cko	ENSMUSG00000049775.Tmsb4x
9.78570204875768e-206	0.19342762827243	0.984	0.976	3.0090055229725e-201	cko	ENSMUSG00000027248.Pdia3
8.40330290525127e-203	0.762387919787854	0.277	0.182	2.58393161033571e-198	cko	ENSMUSG00000063696.Gm8730
8.3868843890203e-202	0.890364819584031	0.306	0.213	2.57888308077985e-197	cko	ENSMUSG00000059743.Fdps
1.31675588834788e-198	0.286201660045591	0.887	0.848	4.0488926810809e-194	cko	ENSMUSG00000037060.Cavin3
