p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.62160434495074	0.955	0.573	0	PdgfraloFb1	ENSMUSG00000026678.Rgs5
0	1.48615041446281	0.764	0.405	0	PdgfraloFb1	ENSMUSG00000071847.Apcdd1
0	1.3961849482712	0.668	0.354	0	PdgfraloFb1	ENSMUSG00000020044.Timp3
0	1.04188958910337	0.97	0.657	0	PdgfraloFb1	ENSMUSG00000016494.Cd34
0	1.44077135525217	0.549	0.246	0	PdgfraloFb1	ENSMUSG00000050010.Shisa3
0	0.994153297340818	0.883	0.581	0	PdgfraloFb1	ENSMUSG00000026399.Cd55
0	0.998316220015126	0.554	0.261	0	PdgfraloFb1	ENSMUSG00000028031.Dkk2
0	1.60678865025272	0.723	0.433	0	PdgfraloFb1	ENSMUSG00000029377.Ereg
0	1.25402333825123	0.448	0.165	0	PdgfraloFb1	ENSMUSG00000064325.Hhip
0	1.29669604597039	0.584	0.301	0	PdgfraloFb1	ENSMUSG00000053441.Adamts19
0	0.612051005761171	0.987	0.722	0	PdgfraloFb1	ENSMUSG00000040170.Fmo2
0	1.14426362870926	0.927	0.664	0	PdgfraloFb1	ENSMUSG00000044674.Fzd1
0	0.907870542076156	0.957	0.695	0	PdgfraloFb1	ENSMUSG00000026365.Cfh
0	0.584060065515337	0.769	0.509	0	PdgfraloFb1	ENSMUSG00000029309.Sparcl1
0	0.753371091698591	0.794	0.536	0	PdgfraloFb1	ENSMUSG00000025934.Gsta3
0	1.25026972878429	0.551	0.305	0	PdgfraloFb1	ENSMUSG00000058914.C1qtnf3
0	1.15011015655536	0.625	0.379	0	PdgfraloFb1	ENSMUSG00000027358.Bmp2
0	0.970986236489018	0.547	0.302	0	PdgfraloFb1	ENSMUSG00000039004.Bmp6
0	1.1153146270125	0.895	0.651	0	PdgfraloFb1	ENSMUSG00000024713.Pcsk5
0	0.230089177948112	0.889	0.652	0	PdgfraloFb1	ENSMUSG00000035258.Abi3bp
0	1.01464001479305	0.661	0.425	0	PdgfraloFb1	ENSMUSG00000036019.Tmtc2
0	1.90561081008199	0.329	0.095	0	PdgfraloFb1	ENSMUSG00000050830.Vwc2
0	0.865533621811927	0.824	0.594	0	PdgfraloFb1	ENSMUSG00000023034.Nr4a1
0	0.16610682694985	0.9	0.671	0	PdgfraloFb1	ENSMUSG00000022665.Ccdc80
0	0.389641011919757	0.812	0.59	0	PdgfraloFb1	ENSMUSG00000034810.Scn7a
0	0.314151347881876	0.83	0.608	0	PdgfraloFb1	ENSMUSG00000003032.Klf4
0	0.283294604189744	0.689	0.467	0	PdgfraloFb1	ENSMUSG00000019880.Rspo3
0	1.27359906061717	0.559	0.338	0	PdgfraloFb1	ENSMUSG00000032487.Ptgs2
0	0.803113110194826	0.548	0.328	0	PdgfraloFb1	ENSMUSG00000058624.Gda
0	0.493224168325824	0.951	0.734	0	PdgfraloFb1	ENSMUSG00000039542.Ncam1
0	0.410028446573855	0.746	0.53	0	PdgfraloFb1	ENSMUSG00000071984.Fndc1
0	0.670508284177174	0.671	0.456	0	PdgfraloFb1	ENSMUSG00000000184.Ccnd2
0	0.552438960011688	0.85	0.635	0	PdgfraloFb1	ENSMUSG00000056427.Slit3
0	1.00737970444462	0.524	0.31	0	PdgfraloFb1	ENSMUSG00000056481.Cd248
0	0.567273490722214	0.64	0.427	0	PdgfraloFb1	ENSMUSG00000026748.Plxdc2
0	2.28624135801574	0.283	0.07	0	PdgfraloFb1	ENSMUSG00000034488.Edil3
0	0.782262881163127	0.706	0.496	0	PdgfraloFb1	ENSMUSG00000014846.Tppp3
0	0.43681320603365	0.94	0.737	0	PdgfraloFb1	ENSMUSG00000028339.Col15a1
0	1.2952496727438	0.406	0.204	0	PdgfraloFb1	ENSMUSG00000084399.Gm15666
0	0.644126662814142	0.649	0.449	0	PdgfraloFb1	ENSMUSG00000026628.Atf3
0	1.10333049535002	0.393	0.193	0	PdgfraloFb1	ENSMUSG00000022103.Gfra2
0	0.582469692920525	0.932	0.735	0	PdgfraloFb1	ENSMUSG00000021268.Meg3
0	1.25797287766825	0.377	0.183	0	PdgfraloFb1	ENSMUSG00000048120.Entpd1
0	1.4275667575046	0.343	0.159	0	PdgfraloFb1	ENSMUSG00000003665.Has1
0	0.843555621623041	0.448	0.266	0	PdgfraloFb1	ENSMUSG00000070867.Trabd2b
0	0.571517432565653	0.963	0.781	0	PdgfraloFb1	ENSMUSG00000021388.Aspn
0	0.796902501605257	0.874	0.693	0	PdgfraloFb1	ENSMUSG00000053560.Ier2
0	0.682101039985243	0.453	0.275	0	PdgfraloFb1	ENSMUSG00000027834.Serpini1
0	1.06312927029534	0.683	0.506	0	PdgfraloFb1	ENSMUSG00000006403.Adamts4
0	0.781862641724288	0.999	0.823	0	PdgfraloFb1	ENSMUSG00000006369.Fbln1
0	0.662896331191883	0.442	0.268	0	PdgfraloFb1	ENSMUSG00000030116.Mfap5
0	0.578924013366967	0.926	0.753	0	PdgfraloFb1	ENSMUSG00000045658.Pid1
0	1.9173994449903	0.252	0.079	0	PdgfraloFb1	ENSMUSG00000029245.Epha5
0	1.05440334903219	0.716	0.544	0	PdgfraloFb1	ENSMUSG00000029380.Cxcl1
0	0.750290221268965	0.396	0.226	0	PdgfraloFb1	ENSMUSG00000027574.Nkain4
0	0.920923147594261	0.4	0.23	0	PdgfraloFb1	ENSMUSG00000025746.Il6
0	0.609668843845213	0.594	0.424	0	PdgfraloFb1	ENSMUSG00000022419.Deptor
0	0.212423897168706	0.943	0.773	0	PdgfraloFb1	ENSMUSG00000024164.C3
0	0.611583632922638	0.733	0.565	0	PdgfraloFb1	ENSMUSG00000019843.Fyn
0	0.335248268552967	0.739	0.572	0	PdgfraloFb1	ENSMUSG00000056973.Ces1d
0	0.652008084419642	0.635	0.468	0	PdgfraloFb1	ENSMUSG00000059588.Calcrl
0	0.413249982373199	0.818	0.651	0	PdgfraloFb1	ENSMUSG00000013584.Aldh1a2
0	0.462162154338997	0.908	0.743	0	PdgfraloFb1	ENSMUSG00000006800.Sulf2
0	0.613384980217074	0.864	0.699	0	PdgfraloFb1	ENSMUSG00000029287.Tgfbr3
0	0.869118475728924	0.791	0.627	0	PdgfraloFb1	ENSMUSG00000053475.Tnfaip6
0	0.24911912033788	0.995	0.831	0	PdgfraloFb1	ENSMUSG00000022057.Adamdec1
0	0.448210937069995	0.965	0.801	0	PdgfraloFb1	ENSMUSG00000028369.Svep1
0	1.11180246178276	0.34	0.177	0	PdgfraloFb1	ENSMUSG00000039145.Camk1d
0	0.423098700952987	0.928	0.766	0	PdgfraloFb1	ENSMUSG00000007097.Atp1a2
0	0.322215468378929	0.87	0.708	0	PdgfraloFb1	ENSMUSG00000021091.Serpina3n
0	0.853854718736804	0.905	0.744	0	PdgfraloFb1	ENSMUSG00000044786.Zfp36
0	0.763244521068169	0.979	0.819	0	PdgfraloFb1	ENSMUSG00000042436.Mfap4
0	0.573516865637715	0.81	0.651	0	PdgfraloFb1	ENSMUSG00000040435.Ppp1r15a
0	0.536265291554744	0.649	0.491	0	PdgfraloFb1	ENSMUSG00000028600.Podn
0	0.813405033042784	0.458	0.3	0	PdgfraloFb1	ENSMUSG00000032515.Csrnp1
0	0.724747293345665	0.488	0.33	0	PdgfraloFb1	ENSMUSG00000030554.Synm
0	0.821005271797336	0.778	0.622	0	PdgfraloFb1	ENSMUSG00000028195.Ccn1
0	0.945604549360659	0.968	0.812	0	PdgfraloFb1	ENSMUSG00000029675.Eln
0	0.577638582666919	0.752	0.597	0	PdgfraloFb1	ENSMUSG00000030231.Plekha5
0	0.95083856942767	0.375	0.221	0	PdgfraloFb1	ENSMUSG00000035274.Tpbg
0	0.580036410921726	0.583	0.429	0	PdgfraloFb1	ENSMUSG00000022332.Khdrbs3
0	0.42066737269144	0.841	0.688	0	PdgfraloFb1	ENSMUSG00000036545.Adamts2
0	0.735070214729622	0.441	0.289	0	PdgfraloFb1	ENSMUSG00000019997.Ccn2
0	0.397456440296647	0.937	0.787	0	PdgfraloFb1	ENSMUSG00000033327.Tnxb
0	0.327957263641548	0.881	0.732	0	PdgfraloFb1	ENSMUSG00000038156.Spon1
0	0.682921576808835	0.43	0.281	0	PdgfraloFb1	ENSMUSG00000023067.Cdkn1a
0	0.944816201404663	0.7	0.551	0	PdgfraloFb1	ENSMUSG00000003541.Ier3
0	0.659720517103403	0.483	0.335	0	PdgfraloFb1	ENSMUSG00000027339.Rassf2
0	1.25249813790517	0.266	0.119	0	PdgfraloFb1	ENSMUSG00000044461.Shisa2
0	0.268775862026252	0.794	0.648	0	PdgfraloFb1	ENSMUSG00000004105.Angptl2
0	0.666385186058178	0.635	0.489	0	PdgfraloFb1	ENSMUSG00000005483.Dnajb1
0	1.83293261019087	0.212	0.066	0	PdgfraloFb1	ENSMUSG00000027398.Il1b
0	0.710223751232724	0.424	0.278	0	PdgfraloFb1	ENSMUSG00000019989.Enpp3
0	0.652676924473847	0.462	0.318	0	PdgfraloFb1	ENSMUSG00000053007.Creb5
0	0.786587665914453	0.61	0.466	0	PdgfraloFb1	ENSMUSG00000028525.Pde4b
