p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	7.40888974770489	0.442	0.005	0	cko	ENSMUSG00000072324.Gm8420
8.58921362465245e-272	6.1615747619582	0.304	0.005	2.64109729744438e-267	cko	ENSMUSG00000064360.mt-Nd3
1.67838025289026e-148	0.798675727446043	0.844	0.698	5.16085143961227e-144	cko	ENSMUSG00000024659.Anxa1
2.10710375775162e-138	6.37042817529318	0.167	0.003	6.47913334471047e-134	cko	ENSMUSG00000059565.Gm5292
1.8170423268298e-121	1.80794109920449	0.3	0.096	5.58722345076896e-117	cko	ENSMUSG00000063696.Gm8730
2.92289617424922e-115	3.91024291796453	0.158	0.01	8.98761344619892e-111	cko	tdTomato.tdTomato
7.19337386134643e-112	6.82780252991401	0.136	0.002	2.21189052862541e-107	cko	ENSMUSG00000117856.Gm6937
1.72719053568687e-111	0.344309866895768	0.979	0.954	5.31093817818355e-107	cko	ENSMUSG00000061787.Rps17
1.37683814891284e-88	0.343526995942153	0.98	0.963	4.23363962409208e-84	cko	ENSMUSG00000063457.Rps15
1.52194798757166e-87	0.435456822187473	0.971	0.953	4.67983786698411e-83	cko	ENSMUSG00000025491.Ifitm1
3.60821869061833e-82	0.262263067278489	0.987	0.969	1.10949116517823e-77	cko	ENSMUSG00000008668.Rps18
1.73717575716829e-77	0.242231665954241	0.992	0.985	5.34164173571677e-73	cko	ENSMUSG00000024608.Rps14
2.29979176678331e-75	2.06346987593313	0.19	0.056	7.07162970368199e-71	cko	ENSMUSG00000063458.Lrmda
8.73465641839601e-72	0.282582710185477	0.978	0.955	2.68581950209259e-67	cko	ENSMUSG00000028691.Prdx1
1.2804184080327e-69	1.5840957541577	0.222	0.083	3.93715856285975e-65	cko	ENSMUSG00000043424.Eif3j2
2.70910235861905e-69	0.358654513602851	0.932	0.891	8.33021884251771e-65	cko	ENSMUSG00000027566.Psma7
2.91705814998535e-67	0.232914411913334	0.988	0.973	8.96966210538996e-63	cko	ENSMUSG00000060938.Rpl26
1.77064725177841e-66	0.319858982999901	0.961	0.929	5.44456323449343e-62	cko	ENSMUSG00000073702.Rpl31
3.31186755784306e-65	0.44776847279261	0.949	0.912	1.01836615536116e-60	cko	ENSMUSG00000075010.AW112010
3.72830337548882e-65	0.223516826600954	0.991	0.977	1.14641600492906e-60	cko	ENSMUSG00000037563.Rps16
1.1329062773226e-61	0.234749952130877	0.996	0.991	3.48357351213926e-57	cko	ENSMUSG00000025492.Ifitm3
1.76824522816221e-61	0.261471542681317	0.99	0.971	5.43717725207597e-57	cko	ENSMUSG00000022108.Itm2b
1.41003597855471e-59	0.218728628357466	0.992	0.976	4.33571963045789e-55	cko	ENSMUSG00000003970.Rpl8
3.95388100688643e-58	0.210320734431664	0.992	0.976	1.21577887080751e-53	cko	ENSMUSG00000047215.Rpl9
4.79959812863586e-58	0.329477431765926	0.962	0.934	1.47582842857424e-53	cko	ENSMUSG00000008348.Ubc
7.57685376916554e-57	0.227359092713154	0.987	0.973	2.32980676548071e-52	cko	ENSMUSG00000041453.Rpl21
3.11243670839062e-56	0.236119196517008	0.975	0.956	9.57043163463031e-52	cko	ENSMUSG00000038900.Rpl12
3.53692923807369e-56	0.334573728132988	0.89	0.825	1.08757037141528e-51	cko	ENSMUSG00000009549.Srp14
1.49713766193941e-54	0.518697058960526	0.794	0.683	4.60354859669748e-50	cko	ENSMUSG00000087006.Gm13889
7.09718522696021e-52	0.839833370164222	0.368	0.233	2.18231348543799e-47	cko	ENSMUSG00000081344.Gm14303
1.60894416722537e-51	0.291724122610209	0.989	0.975	4.94734241980128e-47	cko	ENSMUSG00000050708.Ftl1
4.79115879640711e-50	0.213220261432301	0.995	0.994	1.47323341830722e-45	cko	ENSMUSG00000060802.B2m
4.03397094801255e-49	0.278997016971531	0.97	0.943	1.24040572680438e-44	cko	ENSMUSG00000028367.Txn1
1.04128380208076e-48	0.34290945307701	0.907	0.859	3.20184356301812e-44	cko	ENSMUSG00000024338.Psmb8
1.80243853323387e-48	0.212142725822242	0.979	0.96	5.54231824584081e-44	cko	ENSMUSG00000070493.Chchd2
4.95754111538516e-48	0.366916270986149	0.854	0.774	1.52439431756978e-43	cko	ENSMUSG00000031231.Cox7b
1.08070160629623e-47	0.227568998320143	0.977	0.956	3.32304936920026e-43	cko	ENSMUSG00000048758.Rpl29
1.41870212488113e-46	0.331334713434674	0.949	0.915	4.36236716379698e-42	cko	ENSMUSG00000060703.Cd302
2.45223008062569e-46	0.245540834206221	0.989	0.977	7.54036227491592e-42	cko	ENSMUSG00000060591.Ifitm2
1.03378073746066e-45	0.225634906682483	0.968	0.941	3.17877238961778e-41	cko	ENSMUSG00000055839.Elob
1.1566246455309e-45	0.179679429213606	0.991	0.977	3.55650512254298e-41	cko	ENSMUSG00000057841.Rpl32
1.88637450578591e-45	0.259438929748546	0.947	0.911	5.80041296784108e-41	cko	ENSMUSG00000031633.Slc25a4
1.19813645586271e-44	0.254335632042336	0.935	0.894	3.68414978813223e-40	cko	ENSMUSG00000020738.Sumo2
3.50999162096884e-44	0.190095619076065	0.988	0.969	1.07928732353171e-39	cko	ENSMUSG00000003429.Rps11
4.65923824974647e-44	0.219835245583394	0.987	0.975	1.43266916941454e-39	cko	ENSMUSG00000016559.H3f3b
6.54724686851937e-44	0.208923473542242	0.992	0.983	2.01321293960102e-39	cko	ENSMUSG00000061983.Rps12
1.53503660095062e-43	0.764456918371883	0.732	0.643	4.72008404426307e-39	cko	ENSMUSG00000029371.Cxcl5
2.37517454966156e-43	0.381966067652474	0.889	0.84	7.30342422275432e-39	cko	ENSMUSG00000006818.Sod2
4.70426411146941e-43	0.280205369587537	0.95	0.915	1.44651417163573e-38	cko	ENSMUSG00000020571.Pdia6
5.41094980147157e-43	0.224049611021643	0.977	0.951	1.66381295445449e-38	cko	ENSMUSG00000032383.Ppib
6.87184753082552e-43	0.205328880227101	0.981	0.956	2.11302439725354e-38	cko	ENSMUSG00000062647.Rpl7a
1.0102405544983e-42	0.266804239512063	0.954	0.93	3.10638868102682e-38	cko	ENSMUSG00000058546.Rpl23a
3.98867241605803e-42	0.178229292385798	0.986	0.966	1.22647688121368e-37	cko	ENSMUSG00000062328.Rpl17
5.2859331720689e-42	0.335922261792163	0.885	0.828	1.62537159107947e-37	cko	ENSMUSG00000032231.Anxa2
7.75210366881279e-42	0.174585845473644	0.994	0.984	2.38369435712325e-37	cko	ENSMUSG00000071415.Rpl23
9.09491323012217e-42	0.304622042534322	0.997	0.994	2.79659486913027e-37	cko	ENSMUSG00000024661.Fth1
2.37517964438272e-41	0.230721997445535	0.954	0.916	7.30343988851243e-37	cko	ENSMUSG00000021520.Uqcrb
1.31420216779254e-40	6.71539100102226	0.051	0.001	4.04104024574527e-36	cko	ENSMUSG00000066677.Ifi208
2.64762989933283e-40	0.181557570774149	0.989	0.974	8.14119717745852e-36	cko	ENSMUSG00000059291.Rpl11
1.31839444782716e-39	0.218351791549109	0.995	0.987	4.05393108762372e-35	cko	ENSMUSG00000036256.Igfbp7
1.51943429728948e-39	0.871975086213824	0.522	0.405	4.67210852073543e-35	cko	ENSMUSG00000021508.Cxcl14
3.28153624146172e-39	0.221930976773653	0.989	0.975	1.00903957888706e-34	cko	ENSMUSG00000025351.Cd63
3.98355907320737e-39	0.227392752173148	0.959	0.94	1.22490457942054e-34	cko	ENSMUSG00000029322.Plac8
6.17882731964761e-39	0.199716741334491	0.971	0.941	1.89992761251844e-34	cko	ENSMUSG00000042541.Sem1
9.61409824024985e-39	0.206377868461269	0.949	0.917	2.95623906789443e-34	cko	ENSMUSG00000026385.Dbi
1.02347513553909e-38	0.208700421752839	0.986	0.967	3.14708369426916e-34	cko	ENSMUSG00000027907.S100a11
1.36989984507827e-38	0.332718172193924	0.845	0.782	4.21230503363117e-34	cko	ENSMUSG00000036372.Tmem258
1.92294375869542e-38	0.274346535482431	0.914	0.87	5.91285976361255e-34	cko	ENSMUSG00000028618.Tmem59
2.62319139273881e-38	0.284081726805384	0.94	0.909	8.06605121353256e-34	cko	ENSMUSG00000026547.Tagln2
8.75542060426607e-38	0.3328950149261	0.811	0.75	2.69220428160578e-33	cko	ENSMUSG00000027133.Nop10
9.28010815133904e-38	2.46047259589896	0.079	0.016	2.85354045545524e-33	cko	ENSMUSG00000006638.Abhd1
1.48066512598898e-37	0.217387529933316	0.973	0.941	4.55289719590351e-33	cko	ENSMUSG00000039221.Rpl22l1
8.71993116676319e-37	0.182760425170105	0.986	0.965	2.68129163446801e-32	cko	ENSMUSG00000059070.Rpl18
1.9967169603793e-36	0.216413981771354	0.966	0.934	6.13970498147031e-32	cko	ENSMUSG00000068523.Gng5
2.06277437323792e-36	0.273362928707963	0.878	0.83	6.34282492026928e-32	cko	ENSMUSG00000000088.Cox5a
5.61592519025858e-36	0.163784298610604	0.989	0.976	1.72684083675261e-31	cko	ENSMUSG00000008683.Rps15a
5.71541353480433e-36	0.21556356723152	0.953	0.918	1.75743250781698e-31	cko	ENSMUSG00000001289.Pfdn5
1.22655672416349e-35	0.240646176117024	0.911	0.877	3.77153927113031e-31	cko	ENSMUSG00000014769.Psmb1
1.3329146026532e-35	0.232588579846293	0.942	0.907	4.09857911169833e-31	cko	ENSMUSG00000042747.Krtcap2
1.97150090642783e-35	0.140806149724469	0.993	0.98	6.06216813717493e-31	cko	ENSMUSG00000025508.Rplp2
3.01921611385294e-35	0.168575898721758	0.986	0.965	9.28378762848641e-31	cko	ENSMUSG00000060036.Rpl3
7.05840666603572e-35	0.554047896084365	0.642	0.556	2.17038946573932e-30	cko	ENSMUSG00000029641.Rasl11a
1.1655131177322e-34	0.191792448456616	0.974	0.949	3.58383628571473e-30	cko	ENSMUSG00000037072.Selenof
5.09996922046679e-34	0.193184279212892	0.972	0.947	1.56818953560133e-29	cko	ENSMUSG00000031818.Cox4i1
1.59038206761865e-33	0.1946402537742	0.947	0.914	4.8902658197206e-29	cko	ENSMUSG00000036781.Rps27l
1.70065174747517e-33	0.163510021418812	0.987	0.97	5.22933405831141e-29	cko	ENSMUSG00000090862.Rps13
3.20873355482629e-33	0.303143482157147	0.9	0.856	9.86653480773536e-29	cko	ENSMUSG00000005054.Cstb
3.49570013034792e-33	0.166859219718151	0.986	0.972	1.07489283308068e-28	cko	ENSMUSG00000008682.Rpl10
